chapter,operation,func,package
Combine Data,Combine rows,"rbind(DATA_1, DATA_2, ...)",base
Combine Data,Combine rows,"bind_rows(DATA_1, DATA_2, ...)",dplyr
Combine Data,Combine columns,"cbind(DATA_1, DATA_2, ...)",base
Combine Data,Combine columns,"bind_cols(DATA_1, DATA_2, ...)",dplyr
Combine Data,Combine data frames in a list,rbindlist(LIST),data.table
Select Fields,Select fields,"DATA[, NAME_VECTOR]",base
Select Fields,Select fields,"DATA[, COLUMN_INDEX]",base
Select Fields,Select fields,"select(DATA, COLUMN_1, COLUMN_2, ...)",dplyr
Select Fields,Select fields,"DATA[, ..NAME_VECTOR]",data.table
Select Fields,Remove fields,"DATA[, -NAME_VECTOR]",base
Select Fields,Remove fields,"DATA[, -COLUMN_INDEX]",base
Select Fields,Remove fields,"select(DATA, -COLUMN_1, -COLUMN_2, ...)",dplyr
Select Fields,Remove fields,"DATA[, !..NAME_VECTOR]",data.table
Filter Data,Filter data (AND),"filter(DATA, CONDITION_1, CONDITION_2, ...)",dplyr
Filter Data,Filter data (AND),"filter(DATA, CONDITION_1 & CONDITION_2 & ...)",dplyr
Filter Data,Filter data (AND),DATA[CONDITION_1 & CONDITION_2 & ...],data.table
Filter Data,Filter data (OR),"filter(DATA, CONDITION_1 | CONDITION_2 | ...)",dplyr
Filter Data,Filter data (OR),DATA[CONDITION_1 | CONDITION_2 | ...],data.table
Append Fields,Append fields,DATA$NEW_COLUMN=c(...),base
Append Fields,Append fields,"mutate(DATA, COLUMN_1=COMPUTATION_1, COLUMN_2=COMPUTATION_2, ...)",dplyr
Append Fields,Append multiple fields by same computation,"mutate_at(DATA, c(""COLUMN_1"", ""COLUMN_2"", ...), COMPUTATION)",dplyr
Append Fields,Append multiple fields systematically,"mutate_at(DATA, c(""COLUMN_1"", ""COLUMN_2"", ...),
               list(COLUMN_1_NEW=COMPUTATION_1,
                     COLUMN_2_NEW=COMPUTATION_2))",dplyr
Append Fields,Append fields,"DATA[, c(""COLUMN_1_NEW"", ""COLUMN_2_NEW"") := .(COMPUTATION_1, COMPUTATION_2)]",data.table
Conditional Evaluation,Conditional evaluation,"ifelse(CONDITION, RETURN_TRUE, RETURN_FALSE)",base
Conditional Evaluation,Conditional evaluation,"case_when(COLUMN, 
          CONDITION_1 ~ RETURN_1, 
          CONDITION_2 ~ RETURN_2, 
          TRUE ~ RETURN_3,
          ...)",dplyr
Sort Data,Sort data in ascending order,"arrange(DATA, COLUMN)",dplyr
Sort Data,Sort data in ascending order,DATA[order(COLUMN)],data.table
Sort Data,Sort data in decending order,"arrange(DATA, desc(COLUMN))",dplyr
Sort Data,Sort data in decending order,"arrange(DATA, -COLUMN)",dplyr
Sort Data,Sort data in decending order,DATA[order(-COLUMN)],data.table
Group and Summarise,Group and filter data,"group_by(DATA, COLUMN)%>%
  filter(CONDITION)",dplyr
Group and Summarise,Group and filter data,"group_by(DATA, COLUMN)%>%
  slice(INDEX)",dplyr
Group and Summarise,Group and filter data,"DATA[, .SD[INDEX], by=COLUMN]",data.table
Group and Summarise,Group and summarise data,"group_by(DATA, COLUMN)%>%
  summarise(COMPUTATION)",dplyr
Group and Summarise,Group and summarise data with same computation,"group_by(DATA, COLUMN)%>%
  summarise(across(COLUMN_1:COLUMN_2, ~ COMPUTATION(.x)))",dplyr
Group and Summarise,Group and summarise data,"DATA[, .(COMPUTATION), by=COLUMN]",data.table
Group and Summarise,Group and summarise data,"group_by(DATA, COLUMN)%>%
  reframe(COMPUTATION)",dplyr
Join Data,Left join,"merge(DATA_1, DATA_2, all.x=T, by=""KEY"")",base
Join Data,Left join,"left_join(DATA_1, DATA_2, by=""KEY"")",dplyr
Join Data,Left join,"merge.data.table(DATA_1, DATA_2, all.x=T, by=""KEY"")",data.table
Join Data,Full join,"merge(DATA_1, DATA_2, all=T, by=""KEY"")",base
Join Data,Full join,"full_join(DATA_1, DATA_2, by=""KEY"")",dplyr
